player_name;club;position;height_cm;weight_kg;age;nationality;season;matches_played;matches_started;minutes_played;points_scored;tries;penalties_scored;penalty_attempts;penalty_success_rate;conversion_attempts;conversion_success_rate;balls_kicked;meters_kicked;tackles_broken;passes;carries;meters_carried;line_breaks;offloads;drop_success_rate;turnovers_won;interceptions;tackles_made;tackle_success_rate;penalties_conceded;yellow_cards;orange_cards;red_cards;points_per_match;tries_per_match;tackles_per_match;meters_per_match;meters_per_carry;minutes_per_match;tackle_efficiency
Antoine Dupont;Stade Toulousain;Demi de mêlée;175;85;26;France;2023-2024;14;9;865;30;6;0;0;0;0;0;102;3049;39;561;177;1103;9;31;0;1;0;62;75;4;0;0;0;2.142857142857143;0.42857142857142855;4.428571428571429;78.78571428571429;6.196629213483146;61.785714285714285;46.5
Antoine Dupont;Stade Toulousain;Demi de mêlée;175;85;27;France;2024-2025;3;2;195;15;3;0;0;0;0;0;26;723;14;138;33;245;1;8;0;0;0;15;79;2;0;0;0;5.0;1.0;5.0;81.66666666666667;7.205882352941177;65.0;11.85
Romain Ntamack;Stade Toulousain;Ouvreur;186;91;24;France;2023-2024;4;3;254;2;0;0;0;0;3;33;14;459;13;59;27;252;3;0;0;0;0;15;79;2;0;0;0;0.5;0.0;3.75;63.0;9.0;63.5;11.85
Romain Ntamack;Stade Toulousain;Ouvreur;186;91;25;France;2024-2025;12;12;722;39;4;1;1;100;10;90;53;1463;16;181;53;466;3;6;0;1;0;56;76;3;0;0;0;3.25;0.3333333333333333;4.666666666666667;38.833333333333336;8.62962962962963;60.166666666666664;42.56
Thomas Ramos;Stade Toulousain;Arrière;178;87;28;France;2023-2024;13;13;914;155;5;20;20;74;72;76;94;3153;36;201;141;883;12;15;0;0;0;37;62;2;0;0;0;11.923076923076923;0.38461538461538464;2.8461538461538463;67.92307692307692;6.21830985915493;70.3076923076923;22.94
Thomas Ramos;Stade Toulousain;Arrière;178;87;29;France;2024-2025;14;14;1011;219;4;33;33;84;90;82;88;3000;36;203;126;1099;10;23;0;1;2;30;57;4;1;0;0;15.642857142857142;0.2857142857142857;2.142857142857143;78.5;8.653543307086615;72.21428571428571;17.1
Juan Cruz Mallia;Stade Toulousain;Arrière;182;89;27;Argentina;2023-2024;15;13;1012;86;6;4;4;66;37;70;54;1561;25;174;108;1070;9;23;0;2;1;52;72;3;1;0;0;5.733333333333333;0.4;3.466666666666667;71.33333333333333;9.81651376146789;67.46666666666667;37.44
Juan Cruz Mallia;Stade Toulousain;Arrière;182;89;28;Argentina;2024-2025;16;15;1126;115;8;7;7;77;41;82;68;1952;17;231;130;939;8;12;0;0;0;80;75;7;0;0;0;7.1875;0.5;5.0;58.6875;7.1679389312977095;70.375;60.0
Matthis Lebel;Stade Toulousain;Ailier;184;90;24;France;2023-2024;17;15;1148;50;10;0;0;0;0;0;20;576;51;64;158;1499;19;8;0;0;0;27;61;5;0;0;0;2.9411764705882355;0.5882352941176471;1.588235294117647;88.17647058823529;9.427672955974844;67.52941176470588;16.47
Matthis Lebel;Stade Toulousain;Ailier;184;90;25;France;2024-2025;23;18;1478;5;1;0;0;0;0;0;19;499;52;78;137;1255;13;16;0;0;2;61;75;6;1;0;0;0.21739130434782608;0.043478260869565216;2.652173913043478;54.56521739130435;9.094202898550725;64.26086956521739;45.75
Pierre-Louis Barassi;Stade Toulousain;Centre;187;99;25;France;2023-2024;18;12;1025;15;3;0;0;0;0;0;0;0;22;51;86;713;6;10;0;1;0;86;70;2;0;0;0;0.8333333333333334;0.16666666666666666;4.777777777777778;39.611111111111114;8.195402298850574;56.94444444444444;60.2
Pierre-Louis Barassi;Stade Toulousain;Centre;187;99;26;France;2024-2025;14;11;835;20;4;0;0;0;0;0;3;91;31;47;77;710;11;5;0;3;1;85;83;1;0;0;0;1.4285714285714286;0.2857142857142857;6.071428571428571;50.714285714285715;9.102564102564102;59.642857142857146;70.55
Jack Willis;Stade Toulousain;3ème ligne;170;112;26;England ;2023-2024;14;11;780;15;3;0;0;0;0;0;0;0;17;36;126;623;2;12;0;11;1;105;83;10;1;0;0;1.0714285714285714;0.21428571428571427;7.5;44.5;4.905511811023622;55.714285714285715;87.15
Jack Willis;Stade Toulousain;3ème ligne;170;112;27;England ;2024-2025;20;18;1162;40;8;0;0;0;0;0;1;0;38;72;232;1181;5;22;0;28;1;131;78;12;1;0;0;2.0;0.4;6.55;59.05;5.068669527896995;58.1;102.18
François Cros;Stade Toulousain;3ème ligne;190;111;29;France ;2023-2024;12;10;778;0;0;0;0;0;0;0;0;0;11;35;62;295;0;4;0;1;0;104;88;4;0;0;0;0.0;0.0;8.666666666666666;24.583333333333332;4.682539682539683;64.83333333333333;91.52
François Cros;Stade Toulousain;3ème ligne;190;111;30;France;2024-2025;13;12;700;0;0;0;0;0;0;0;0;0;11;28;59;337;2;1;0;2;0;75;80;6;0;0;0;0.0;0.0;5.769230769230769;25.923076923076923;5.616666666666666;53.84615384615385;60.0
Emmanuel Meafou;Stade Toulousain;2ème ligne;203;145;25;France;2023-2024;14;9;741;25;5;0;0;0;0;0;0;0;12;74;117;549;1;17;0;2;0;83;88;7;0;0;0;1.7857142857142858;0.35714285714285715;5.928571428571429;39.214285714285715;4.6525423728813555;52.92857142857143;73.04
Emmanuel Meafou;Stade Toulousain;2ème ligne;203;145;26;France ;2024-2025;16;8;712;5;1;0;0;0;0;0;0;0;9;53;99;475;0;10;0;3;0;69;78;7;1;0;0;0.3125;0.0625;4.3125;29.6875;4.75;44.5;53.82
Peato Mauvaka;Stade Toulousain;Talonneur;184;112;26;France;2023-2024;12;6;512;25;5;0;0;0;0;0;1;22;10;30;59;321;1;3;0;3;0;60;80;2;0;0;0;2.0833333333333335;0.4166666666666667;5.0;26.75;5.35;42.666666666666664;48.0
Peato Mauvaka;Stade Toulousain;Talonneur;184;112;27;France;2024-2025;9;6;402;25;5;0;0;0;0;0;0;0;5;30;42;174;0;4;0;1;0;49;86;6;0;0;0;2.7777777777777777;0.5555555555555556;5.444444444444445;19.333333333333332;4.046511627906977;44.666666666666664;42.14
Cyril Baille;Stade Toulousain;Pilier;182;118;30;France;2023-2024;12;5;473;0;0;0;0;0;0;0;0;0;8;43;85;322;1;11;0;0;0;41;87;2;0;0;0;0.0;0.0;3.4166666666666665;26.833333333333332;3.744186046511628;39.416666666666664;35.67
Cyril Baille;Stade Toulousain;Pilier;182;118;31;France ;2024-2025;9;3;297;0;0;0;0;0;0;0;1;28;4;18;25;128;0;1;0;0;0;41;93;2;0;0;0;0.0;0.0;4.555555555555555;14.222222222222221;4.923076923076923;33.0;38.13
Dorian Aldegheri;Stade Toulousain;Pilier;180;119;30;France;2023-2024;13;9;607;0;0;0;0;0;0;0;0;0;1;10;25;87;0;1;0;1;0;49;86;10;0;0;0;0.0;0.0;3.769230769230769;6.6923076923076925;3.3461538461538463;46.69230769230769;42.14
Dorian Aldegheri;Stade Toulousain;Pilier;180;119;31;France;2024-2025;19;12;805;0;0;0;0;0;0;0;1;5;2;22;34;138;0;0;0;3;0;68;73;19;2;0;0;0.0;0.0;3.5789473684210527;7.2631578947368425;3.942857142857143;42.36842105263158;49.64
Maxime Lucu;Union Bordeaux-Bègles;Demi de mêlée;177;83;30;France;2023-2024;19;17;1324;118;1;23;23;69;68;66;171;5753;24;897;109;428;5;14;0;2;0;154;71;1;0;0;0;6.2105263157894735;0.05263157894736842;8.105263157894736;22.526315789473685;3.890909090909091;69.6842105263158;109.34
Maxime Lucu;Union Bordeaux-Bègles;Demi de mêlée;177;83;31;France;2024-2025;20;16;1244;83;4;15;15;100;19;89;161;5484;20;969;71;400;6;8;0;1;0;149;76;2;0;0;0;4.15;0.2;7.45;20.0;5.555555555555555;62.2;113.24
Matthieu Jalibert;Union Bordeaux-Bègles;Ouvreur;184;84;25;France ;2023-2024;14;14;975;76;1;12;12;92;34;82;134;4423;24;354;166;1067;6;9;50;0;0;57;58;5;0;0;0;5.428571428571429;0.07142857142857142;4.071428571428571;76.21428571428571;6.389221556886228;69.64285714285714;33.06
Matthieu Jalibert;Union Bordeaux-Bègles;Ouvreur;184;84;26;France;2024-2025;19;17;1170;153;5;14;14;87;80;71;172;4960;39;381;144;1237;19;33;0;1;2;71;60;4;0;0;0;8.052631578947368;0.2631578947368421;3.736842105263158;65.10526315789474;8.53103448275862;61.578947368421055;42.6
Cyril Cazeaux;Union Bordeaux-Bègles;3ème ligne;198;117;28;France;2023-2024;15;12;1008;0;0;0;0;0;0;0;0;0;4;47;78;418;1;1;0;0;0;150;85;10;1;0;0;0.0;0.0;10.0;27.866666666666667;5.291139240506329;67.2;127.5
Cyril Cazeaux;Union Bordeaux-Bègles;3ème ligne;198;117;29;France ;2024-2025;24;18;1461;15;3;0;0;0;0;0;3;124;9;64;118;608;1;6;0;1;1;215;83;12;0;0;0;0.625;0.125;8.958333333333334;25.333333333333332;5.109243697478991;60.875;178.45
Damian Penaud;Union Bordeaux-Bègles;Ailier;192;95;27;France;2023-2024;16;15;1132;70;14;0;0;0;0;0;32;968;37;82;100;1175;16;12;0;1;3;55;69;4;0;0;0;4.375;0.875;3.4375;73.4375;11.633663366336634;70.75;37.95
Damian Penaud;Union Bordeaux-Bègles;Ailier;192;95;28;France;2024-2025;15;15;1107;55;11;0;0;0;0;0;31;911;44;96;105;932;12;28;0;0;4;68;67;1;1;0;0;3.6666666666666665;0.7333333333333333;4.533333333333333;62.13333333333333;8.79245283018868;73.8;45.56
