player_name;club;position;height_cm;weight_kg;age;nationality;season;matches_played;matches_started;minutes_played;points_scored;tries;penalties_scored;penalty_attempts;penalty_success_rate;conversion_attempts;conversion_success_rate;balls_kicked;meters_kicked;tackles_broken;passes;carries;meters_carried;line_breaks;offloads;drop_success_rate;turnovers_won;interceptions;tackles_made;tackle_success_rate;penalties_conceded;yellow_cards;orange_cards;red_cards
Antoine Dupont;Stade Toulousain;Demi de mêlée;175;85;26;France;2023-2024;14;9;865;30;6;0;0;0;0;0;102;3049;39;561;177;1103;9;31;0;1;0;62;75;4;0;0;0
Antoine Dupont;Stade Toulousain;Demi de mêlée;175;85;27;France;2024-2025;3;2;195;15;3;0;0;0;0;0;26;723;14;138;33;245;1;8;0;0;0;15;79;2;0;0;0
Romain Ntamack;Stade Toulousain;Ouvreur;186;91;24;France;2023-2024;4;3;254;2;0;0;0;0;3;33;14;459;13;59;27;252;3;0;0;0;0;15;79;2;0;0;0
Romain Ntamack;Stade Toulousain;Ouvreur;186;91;25;France;2024-2025;12;12;722;39;4;1;1;100;10;90;53;1463;16;181;53;466;3;6;0;1;0;56;76;3;0;0;0
Thomas Ramos;Stade Toulousain;Arrière;178;87;28;France;2023-2024;13;13;914;155;5;20;20;74;72;76;94;3153;36;201;141;883;12;15;0;0;0;37;62;2;0;0;0
Thomas Ramos;Stade Toulousain;Arrière;178;87;29;France;2024-2025;14;14;1011;219;4;33;33;84;90;82;88;3000;36;203;126;1099;10;23;0;1;2;30;57;4;1;0;0
Juan Cruz Mallia;Stade Toulousain;Arrière;182;89;27;Argentina;2023-2024;15;13;1012;86;6;4;4;66;37;70;54;1561;25;174;108;1070;9;23;0;2;1;52;72;3;1;0;0
Juan Cruz Mallia;Stade Toulousain;Arrière;182;89;28;Argentina;2024-2025;16;15;1126;115;8;7;7;77;41;82;68;1952;17;231;130;939;8;12;0;0;0;80;75;7;0;0;0
Matthis Lebel;Stade Toulousain;Ailier;184;90;24;France;2023-2024;17;15;1148;50;10;0;0;0;0;0;20;576;51;64;158;1499;19;8;0;0;0;27;61;5;0;0;0
Matthis Lebel;Stade Toulousain;Ailier;184;90;25;France;2024-2025;23;18;1478;5;1;0;0;0;0;0;19;499;52;78;137;1255;13;16;0;0;2;61;75;6;1;0;0
