Target,Model,MAE,RMSE,R2
points_per_match,Linear Regression,1.5372772982356369,2.2736907725900735,0.2897406182227382
points_per_match,Ridge Regression,1.5073783635053384,2.2718653701834852,0.2908806050299513
points_per_match,Random Forest,0.8605769416257719,1.753440601185982,0.5775879511986453
points_per_match,Gradient Boosting,0.9445790209766337,1.690085810902288,0.6075614234626678
tries_per_match,Linear Regression,0.03759121200800912,0.07886903321330359,0.8437979259878785
tries_per_match,Ridge Regression,0.0360494011954531,0.07697157145636395,0.8512234553159416
tries_per_match,Random Forest,0.033602010945388686,0.07453740522657949,0.8604845507482669
tries_per_match,Gradient Boosting,0.030310421019974814,0.07442409757041542,0.8609083957466808
tackles_per_match,Linear Regression,0.33010850364626976,0.474473266445823,0.9514674985960571
tackles_per_match,Ridge Regression,0.412207944985424,0.5593528020461781,0.9325501766912148
tackles_per_match,Random Forest,0.7076633950555238,0.9162595913261695,0.8190134722992685
tackles_per_match,Gradient Boosting,0.5262311942527638,0.7228674014133709,0.8873512282957303
